"Table 84. Staff, enrollment, and pupil/staff ratios in public elementary and secondary school systems, by state or jurisdiction: Fall 2000 through fall 2007       ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
State or jurisdiction ,Pupil/staff ratio,,,,,,,,,,Fall 2005,,,,,,Fall 2006\1\,,,,,,Fall 2007      ,,,,
State or jurisdiction ,Fall 2000,,Fall 2001,,Fall 2002,,Fall 2003,,Fall 2004,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,Pupil/ staff ratio,
State or jurisdiction ,Fall 2000,,Fall 2001,,Fall 2002,,Fall 2003,,Fall 2004,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,Pupil/ staff ratio,
State or jurisdiction ,Fall 2000,,Fall 2001,,Fall 2002,,Fall 2003,,Fall 2004,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,,Pupil/ staff ratio,,Staff,,Enrollment,Pupil/ staff ratio,
Illinois .........................,8.202024892810389,\3\,8.106285392264674,\3\,8.098584817681619,\3\,8.267626584395499,\3\,8.03044097490754,\3\,251769,\3\,2111706,\3\,8.38747423233202,\3\,221661,\3\,2118276,\3\,9.556376629176986,\3\,214459,\3\,2112805,9.85178985260586,\3\
Indiana ..........................,7.799760314744585,\3\,7.725614437834945,\3\,7.904652041764437,\3\,7.746223148346766,\3\,7.657716963448922,\3\,133096,\3\,1035074,\3\,7.776897878223237,\3\,134678,\3\,1045940,\3\,7.7662275947073764,\3\,139460,\3\,1046766,7.50585114011186,\3\
Indiana .........................., ,\3\, ,\3\, ,\3\, ,\3\, ,\3\, ,\3\, ,\3\, ,\3\, ,\3\, ,\3\, ,\3\, ,\3\, , ,\3\
Iowa ............................,7.305836346196414,\3\,6.991424953959484,\3\,7.151692225550974,\3\,7.062623831398506,\3\,6.987859751643535,\3\,69080,\3\,483482,\3\,6.998870874348581,\3\,69690,\3\,483122,\3\,6.9324436791505235,\3\,71794,\3\,485115,6.757040978354738,\3\
Kansas ...........................,7.3168115175920025,\3\,7.216713989716829,\3\,7.368950571889033,\3\,7.3769952021073095,\3\,7.3172162086283805,\3\,65537,\3\,467525,\3\,7.133756503959595,\3\,53762,\3\,469506,\3\,8.733045645623303,\3\,54232,\3\,468295,8.635030978020357,\3\
Kentucky .........................,7.425229163414144, ,6.9005979309690275, ,6.894708834608041, ,6.915424389633676, ,7.034987489574646, ,97937, ,679878,\3\,6.941993322237765, ,98812, ,683152,\3\,6.913654212039024,\3\,100362, ,666225,6.638219644885514,\3\
Louisiana .......................,7.342762168454212, ,7.201512525602647, ,7.13810794171968, ,7.065821924458685, ,7.1441492981919685, ,92612, ,654526,\3\,7.067399473070444, ,95226, ,675851,\3\,7.0973368617814465,\3\,99625, ,681038,6.836015056461732,\3\
Maine ...........................,6.216393934844618, ,6.033869452923222, ,5.908084195917423, ,5.63441699659845, ,5.697011375684117, ,35249, ,195498,\3\,5.546199892195523, ,36785, ,193986,\3\,5.27350822346065,\3\,39918, ,196245,4.916203216594018,\3\
Maine ..........................., , , , , , , , , , , , , ,\3\, , , , , ,\3\, ,\3\, , , , ,\3\
Maryland ........................,8.838182873248778, ,8.668640841240103, ,8.444330780772004, ,8.082591672944043, ,7.992548201226269, ,111215, ,860020,\3\,7.732949692037945, ,113474, ,851640,\3\,7.505155365986922,\3\,116857, ,845700,7.237050412042069,\3\
Massachusetts ...................,7.961643030347564, ,7.746133456447158, ,6.830012089882019, ,7.294322020027676,\3\,7.089257555608845,\3\,138781,\3\,971909,\3\,7.003184874010131,\3\,136563,\3\,968661,\3\,7.093143823729707,\3\,123114, ,962958,7.821677469662264,\3\
Michigan .....................,8.174733111302208,\3\,8.05359386488222, ,9.541564890188303, ,8.530650281021579,\3\,8.346033788452832,\3\,204764,\3\,1742282, ,8.50873200367252,\3\,212320,\3\,1722656, ,8.113489073097211,\3\,208987, ,1692739,8.099733476244934,\3\
Minnesota ...................,8.248913778121077,\3\,8.128469271822878, ,8.041809497583348,\3\,8.124363818630474, ,8.034177469889908, ,104489, ,839243, ,8.031878953765467, ,106701, ,840565, ,7.877761220607117, ,108432, ,837578,7.724454035709016, 
Mississippi .....................,7.692335027733573,\3\,7.574353464814672, ,7.449306700134577,\3\,7.217924155783377, ,7.366295409597169, ,67659, ,494954, ,7.315419973691601, ,68815, ,495026, ,7.193576981762697, ,71144, ,494122,6.945378387495783, 
Mississippi ....................., ,\3\, , , ,\3\, , , , , , , , , , , , , , , , , , , , , 
Missouri ........................,7.5055011923361565,\3\,7.2926295539256945, ,7.0751693671755485,\3\,7.2024120906640805, ,7.141215534103098, ,128794, ,917705, ,7.125370747084491, ,131633, ,920353, ,6.991810564220218, ,133607, ,917188,6.864819957038179, 
Montana ........................,7.9635438091320445,\3\,7.79695197044335,\3\,8.024126678435778,\3\,7.9521869639794165, ,7.82051282051282,\3\,19611,\3\,145416, ,7.41502218142879,\3\,19005,\3\,144418, ,7.5989476453564855,\3\,19179,\3\,142823,7.446842901089734,\3\
Nebraska ........................,7.168415779586725,\3\,7.032263634345478,\3\,7.004933362786246,\3\,7.037734453947206, ,6.943193138469762,\3\,41166,\3\,286646, ,6.96317349268814,\3\,42938,\3\,287580, ,6.697563929386558,\3\,43672,\3\,291244,6.668895402088294,\3\
Nevada ..........................,10.92318000968225,\3\,10.504725174434009,\3\,11.048590138444517,\3\,11.315687483484542, ,12.798560460652592,\3\,32345,\3\,412395, ,12.749884062451693,\3\,33951,\3\,424766, ,12.511148419781449,\3\,35574,\3\,429362,12.069545173441277,\3\
New Hampshire ..................,7.430440206736767,\3\,7.09814350914519,\3\,6.90234985209559,\3\,6.727765163801492, ,6.585965359144167,\3\,32022,\3\,205767, ,6.425801011804385,\3\,32174,\3\,203572, ,6.327220737241251,\3\,32573,\3\,200772,6.163755257421791,\3\
New Hampshire .................., ,\3\, ,\3\, ,\3\, , , ,\3\, ,\3\, , , ,\3\, ,\3\, , , ,\3\, ,\3\, , ,\3\
New Jersey .......................,7.076268675211603, ,6.939468389392615, ,6.858416799995988, ,6.767136513786648, ,6.528722975569071, ,211893,\3\,1395602, ,6.586352545860411,\3\,205319,\3\,1388850, ,6.7643520570429425,\3\,201552,\3\,1382348,6.85851790108756,\3\
New Mexico ......................,7.121171024958092, ,7.126232171068734, ,7.306941085200566, ,7.204701054838206, ,7.008274053856569, ,47940,\3\,326758, ,6.8159783062161035,\3\,46551,\3\,328220, ,7.050761530364547,\3\,46699,\3\,329040,7.045975288550076,\3\
New York ........................,6.924408268386204, ,6.786717359918147, ,6.747498510670607, ,7.2677191522611615, ,7.1070287579963365, ,373504,\3\,2815581, ,7.538288746572995,\3\,373360,\3\,2809649, ,7.525308013713306,\3\,374080,\3\,2765435,7.39262991873396,\3\
North Carolina .................,7.964181934594168, ,7.916052815290917, ,7.889740621751867, ,7.899328079538657, ,7.8155187583188575, ,182107, ,1416436, ,7.778042579362682, ,204549, ,1444481, ,7.061784706842859, ,203287, ,1489492,7.3270400960218804, 
North Dakota ....................,7.224677472709229, ,7.11963746223565, ,6.906891981444665, ,6.785676357360945, ,6.631457412416705, ,15128, ,98283, ,6.496760973030143, ,15157, ,96670, ,6.377911196146995, ,15385, ,95059,6.178680532986675, 
North Dakota ...................., , , , , , , , , , , , , , , , , , , , , , , , , , , 
Ohio .............................,8.230358672592965, ,7.960562069850048, ,7.584560097701055, ,7.609384793006762, ,7.667183359167958, ,238977, ,1839683, ,7.698159237081393, ,242643, ,1836722, ,7.569647589256644, ,243579, ,1827184,7.501402009204406, 
Oklahoma ........................,8.291770905413317, ,8.142647732478242, ,8.391980865872995, ,8.780446762862312, ,8.1258358505667, ,81857, ,634739, ,7.754242154000269, ,81831, ,639391, ,7.81355476530899, ,86758, ,642065,7.4006431683533505, 
Oregon ...........................,9.724950149551345, ,9.618893133099611, ,10.06633116529196, ,10.157595076650944, ,9.755195366986246, ,60349, ,552194, ,9.150010770683856, ,62205, ,562574, ,9.043871071457279, ,64619, ,565586,8.75262693634999, 
Pennsylvania .......................,8.10195369191953, ,7.9464443067903225, ,7.85616927061937, ,7.807063947631275, ,7.709487099467784, ,240409, ,1830684, ,7.61487298728417, ,240558, ,1871060, ,7.777999484531797, ,254476, ,1801971,7.081103915496943, 
Rhode Island .....................,8.871867159087705, ,8.504412397761515, ,8.698300825001366, ,8.012820512820513,\3\,6.852526490936159,\3\,24267,\3\,153422, ,6.322248320764825,\3\,17912,\3\,151612, ,8.464269763287183,\3\,17559, ,147629,8.407597243578792, 
Rhode Island ....................., , , , , , , ,\3\, ,\3\, ,\3\, , , ,\3\, ,\3\, , , ,\3\, , , , , 
South Carolina ...................,9.801357177995776,\3\,9.478791107123833,\3\,11.015228667967449,\3\,11.118146546240936,\3\,10.826874259603994,\3\,67992,\3\,701544, ,10.318037416166607,\3\,68833,\3\,708021, ,10.286069181933085,\3\,66087, ,712317,10.778473829951428, 
South Dakota ....................,7.116028397049627,\3\,6.889693171996543,\3\,6.833482213231044,\3\,6.59367613845265,\3\,6.782171655804706,\3\,19018,\3\,122012, ,6.4156062677463455,\3\,17294,\3\,121158, ,7.0057823522608995,\3\,17019, ,121606,7.14530818496974, 
Tennessee .....................,8.28687187246493,\3\,8.263412760102566,\3\,8.111439514507074,\3\,8.066500172235619,\3\,8.129181891212522,\3\,114171,\3\,953928, ,8.355256588801009,\3\,123218,\3\,978368, ,7.940138616111282,\3\,126646, ,964259,7.613813306381568, 
Texas ..........................,7.4791568025262025,\3\,7.1468614176147875,\3\,7.171395045807927,\3\,7.264016568007647,\3\,7.253006434362261,\3\,598513,\3\,4525394, ,7.561062165734078,\3\,616155,\3\,4599509, ,7.464857057071678,\3\,635715, ,4674832,7.353660052067357, 
Utah ...........................,11.825159024486087,\3\,11.78947240397947,\3\,11.764499374819659,\3\,11.93840414008906,\3\,11.31726555652936,\3\,45821,\3\,508430, ,11.096004015626024,\3\,47365,\3\,523386, ,11.050058059748759,\3\,48515, ,576244,11.877646088838503, 
Utah ..........................., ,\3\, ,\3\, ,\3\, ,\3\, ,\3\, ,\3\, , , ,\3\, ,\3\, , , ,\3\, , , , , 
Vermont .........................,5.742122439792933,\3\,5.605484764542936,\3\,5.43831592689295,\3\,5.299342281161435,\3\,5.204084872215462,\3\,19024,\3\,96638, ,5.079793944491169,\3\,19232,\3\,95399, ,4.9604305324459235,\3\,19184, ,94038,4.901897414512093, 
Virginia .........................,7.124859203574518,\3\,7.038414755913803, ,7.222529663668602, ,7.156359183085401, ,6.704615778460442, ,233898, ,1213616, ,5.188654883752747, ,214464, ,1220440, ,5.690652044165921, ,204384, ,1230857,6.0222766948489115, 
Washington .......................,10.290978737350978, ,9.009105516871987, ,9.00122405534859, ,9.344968616758468, ,9.11956405121236, ,113845, ,1031985, ,9.06482498133427, ,102948, ,1026774, ,9.973714885184753, ,103714, ,1030247,9.933538384403263, 
