"Table 106. Public high school graduates and dropouts, by race/ethnicity and state or jurisdiction: 2006-07",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"State or 
other jurisdiction","High school graduates, by race/ethnicity, 2006-07\1\",,,,,,,"Event dropout rates (percent of 9th- to 12th-graders who dropped out) during 2006-07, by race/ethnicity    ",,,,,
"State or 
other jurisdiction",Total,,White,Black,Hispanic,"Asian/
Pacific
Islander","American
Indian/
Alaska
Native",Total,White,Black,Hispanic,"Asian/
Pacific
Islander","American
Indian/
Alaska
Native"
North Dakota ................,7159,3.0,6542,74,68,62,413,2.3,1.7999992370605469,3.799999237060547,3.8999996185302734,0,7.899997711181641
Ohio .......................,116136,3.0,98390,14058,1899,1652,137,4.5,3,9.5,19.599990844726562,2,9.099998474121094
Oklahoma ....................,37100,3.0,23530,3599,2385,856,6730,3.5,3.0999984741210938,4.5,5.299999237060547,2.799999237060547,3.6999988555908203
Oregon ......................,32643,3.0,26227,806,3242,1687,681,4.6,3.799999237060547,7.899997711181641,8.299995422363281,3.1999988555908203,7.399997711181641
Pennsylvania ...............,127830,3.0,104217,15515,5566,3173,132,---,---,5.099998474121094,6.5,---,---
Rhode Island ..............,10384,3.0,7663,871,1485,322,43,5.8,4.099998474121094,8.299995422363281,11.5,6.899997711181641,9.599998474121094
Rhode Island ..............,10384,3.0,7663,871,1485,322,43,5.8,4.099998474121094,8.299995422363281,11.5,6.899997711181641,9.599998474121094
South Carolina ..........................,34970,3.0,21062,12643,631,462,44,3.9,3.5999984741210938,4.399997711181641,4.599998474121094,2.0999984741210938,6
South Dakota .............,8346,3.0,7535,93,116,111,491,3.9,2.6999988555908203,4.299999237060547,9.299995422363281,2.1999988555908203,15.5
Tennessee ...............,54502,3.0,40140,12188,1146,934,94,3.1,2.1999988555908203,5.6999969482421875,5.399997711181641,2.299999237060547,3.799999237060547
Texas ....................,241193,3.0,112215,32139,86332,9625,882,4,1.8999996185302734,5.799999237060547,5.599998474121094,1.5,2.8999996185302734
Utah ....................,28276,3.0,24679,231,2100,876,390,3.1,2.6999988555908203,4.399997711181641,6,2.799999237060547,6
Utah ....................,28276,3.0,24679,231,2100,876,390,3.1,2.6999988555908203,4.399997711181641,6,2.799999237060547,6
Vermont ....................,6667,3.0,6325,91,63,92,96,---,---,---,---,---,---
Virginia ....................,73193,3.0,47804,16982,3916,4310,181,2.6,1.8999996185302734,3.799999237060547,5.6999969482421875,1.5,3
Washington ..................,62339,3.0,46996,2749,5625,5696,1273,5.1,4.399997711181641,7.799999237060547,7.799999237060547,3.5,10.099998474121094
West Virginia ...........,17407,3.0,16475,715,87,114,16,4,3.8999996185302734,5,4.099998474121094,1.0999994277954102,3.3999996185302734
Wisconsin ................,63968,3.0,54078,4332,2580,2202,776,2.2,1.2999992370605469,7.799999237060547,5.1999969482421875,1.8999996185302734,5.099998474121094
Wyoming ...................,5441,3.0,4882,53,328,59,119,5.1,4.5,7.899997711181641,8,2.0999984741210938,12.299995422363281
Wyoming ...................,5441,3.0,4882,53,328,59,119,5.1,4.5,7.899997711181641,8,2.0999984741210938,12.299995422363281
Bureau of Indian,5441,3.0,4882,53,328,59,119,5.1,4.5,7.899997711181641,8,2.0999984741210938,12.299995422363281
   Education ....................,---,3.0,---,---,---,---,---,---,---,---,---,---,---
"DoD, overseas ...............",---,3.0,---,---,---,---,---,---,---,---,---,---,---
"DoD, domestic ....................",---,3.0,---,---,---,---,---,---,---,---,---,---,---
